"","x"
"Axis [s]51",3.30665509701157
"Axis [s]52",4.35834593650543
"Axis [s]53",5.25126280847752
"Axis [s]54",6.01238388087832
"Axis [s]55",6.66143987994468
"Axis [s]56",7.21866723835609
"Axis [s]57",7.70065014131691
"Axis [s]58",8.11721069673716
"Axis [s]59",8.4794735025908
"Axis [s]60",8.7968435834434
"Axis [s]61",9.07634056095451
"Axis [s]62",9.32298697666362
"Axis [s]63",9.54235202173099
"Axis [s]64",9.7391060419861
"Axis [s]65",9.91562271227899
"Axis [s]66",10.0750521333212
"Axis [s]67",10.220169772358
"Axis [s]68",10.3529425258906
"Axis [s]69",10.4746162496056
"Axis [s]70",10.5869441593172
"Axis [s]71",10.6914526329154
"Axis [s]72",10.7886810894217
"Axis [s]73",10.8794315844602
"Axis [s]74",10.9648485141777
"Axis [s]75",11.0459098736279
"Axis [s]76",11.12182422089
"Axis [s]77",11.1938446200415
"Axis [s]78",11.2629709084771
"Axis [s]79",11.3284244257598
"Axis [s]80",11.3909192303255
"Axis [s]81",11.4510705634145
"Axis [s]82",11.5086169423012
"Axis [s]83",11.5637904801315
"Axis [s]84",11.6172238674804
"Axis [s]85",11.6686367479974
"Axis [s]86",11.7181727335698
"Axis [s]87",11.766525331955
"Axis [s]88",11.8128396331939
"Axis [s]89",11.8589136359906
"Axis [s]90",11.9025469794228
"Axis [s]91",11.9446568824623
"Axis [s]92",11.9866706905538
"Axis [s]93",12.026354185153
"Axis [s]94",12.0649885391331
"Axis [s]95",12.1034778440724
"Axis [s]96",12.1398994253547
"Axis [s]97",12.1753457865515
"Axis [s]98",12.21107768067
"Axis [s]99",12.2447045363768
"Axis [s]100",12.2773812883525
"Axis [s]101",12.3104825698195
"Axis [s]102",12.3414200554393
"Axis [s]103",12.3715747639452
"Axis [s]104",12.4015328943269
"Axis [s]105",12.4302063054061
"Axis [s]106",12.4589855704452
"Axis [s]107",12.4872365210718
"Axis [s]108",12.5138069504908
"Axis [s]109",12.5409108500507
"Axis [s]110",12.5662240839277
"Axis [s]111",12.5908473525217
"Axis [s]112",12.6155058991916
"Axis [s]113",12.639020598364
"Axis [s]114",12.6619551923354
"Axis [s]115",12.6851495846368
"Axis [s]116",12.7069598795116
"Axis [s]117",12.7282306406166
"Axis [s]118",12.7500102892274
"Axis [s]119",12.7702934378076
"Axis [s]120",12.7900985921575
"Axis [s]121",12.8097562133446
"Axis [s]122",12.8286553767217
"Axis [s]123",12.8471594254978
"Axis [s]124",12.8661901303188
"Axis [s]125",12.8838239233953
"Axis [s]126",12.9012675054382
"Axis [s]127",12.9183686265121
"Axis [s]128",12.9347563389432
"Axis [s]129",12.9512634139162
"Axis [s]130",12.966895970729
"Axis [s]131",12.9821705857177
"Axis [s]132",12.997665405404
"Axis [s]133",13.0122399285496
"Axis [s]134",13.0264883663689
"Axis [s]135",13.0409583638339
"Axis [s]136",13.0545359765802
"Axis [s]137",13.0678653501796
"Axis [s]138",13.0810150645873
"Axis [s]139",13.0936787394733
"Axis [s]140",13.106068749276
"Axis [s]141",13.1188895925983
"Axis [s]142",13.1307559617025
"Axis [s]143",13.1426461997054
"Axis [s]144",13.1540472218559
"Axis [s]145",13.1651120092099
"Axis [s]146",13.1763166111504
"Axis [s]147",13.1868897729622
"Axis [s]148",13.197226390944
