"","x"
"Axis [s]149",13.2076366085837
"Axis [s]150",13.2174983894064
"Axis [s]151",13.2271588137295
"Axis [s]152",13.2369573608404
"Axis [s]153",13.2461641417717
"Axis [s]154",13.2552183536487
"Axis [s]155",13.2642946450565
"Axis [s]156",13.2729045446411
"Axis [s]157",13.2813644613007
"Axis [s]158",13.2898375209626
"Axis [s]159",13.2979041419119
"Axis [s]160",13.3060589414622
"Axis [s]161",13.313999230416
"Axis [s]162",13.3215538182732
"Axis [s]163",13.329192868131
"Axis [s]164",13.336401384751
"Axis [s]165",13.3434555087178
"Axis [s]166",13.3505673502293
"Axis [s]167",13.3573283215537
"Axis [s]168",13.3639483634179
"Axis [s]169",13.3706491152333
"Axis [s]170",13.3770022094647
"Axis [s]171",13.3832088593519
"Axis [s]172",13.3895123288635
"Axis [s]173",13.3954442339184
"Axis [s]174",13.4012578432448
"Axis [s]175",13.4070725702255
"Axis [s]176",13.4126396713261
"Axis [s]177",13.4180963174368
"Axis [s]178",13.4237040111999
"Axis [s]179",13.4289176664913
"Axis [s]180",13.4341599427619
"Axis [s]181",13.439252756816
"Axis [s]182",13.4441558707825
"Axis [s]183",13.4490812319564
"Axis [s]184",13.4537652994123
"Axis [s]185",13.4583613363831
"Axis [s]186",13.4630214341171
"Axis [s]187",13.4674372995674
"Axis [s]188",13.4717471251548
"Axis [s]189",13.4761170467549
"Axis [s]190",13.4802648005084
"Axis [s]191",13.4843180963993
"Axis [s]192",13.488371226689
"Axis [s]193",13.4922498521657
"Axis [s]194",13.4960591780968
"Axis [s]195",13.4999705066929
"Axis [s]196",13.5036150830089
"Axis [s]197",13.5072984796267
"Axis [s]198",13.5108613880241
"Axis [s]199",13.5142895203185
"Axis [s]200",13.5177479794096
"Axis [s]201",13.5210442285649
"Axis [s]202",13.5242801548935
"Axis [s]203",13.5275429311276
"Axis [s]204",13.5306383420849
"Axis [s]205",13.5336684031578
"Axis [s]206",13.5367733576748
"Axis [s]207",13.5396866189284
"Axis [s]208",13.5425399344174
"Axis [s]209",13.5453918302826
"Axis [s]210",13.5481350118556
"Axis [s]211",13.5508186308635
"Axis [s]212",13.5535588980788
"Axis [s]213",13.5561429201481
"Axis [s]214",13.5587723229546
"Axis [s]215",13.5612931276054
"Axis [s]216",13.5637269455037
"Axis [s]217",13.5661848112613
"Axis [s]218",13.5685160403865
"Axis [s]219",13.5708042559289
"Axis [s]220",13.573134479474
"Axis [s]221",13.5753345487094
"Axis [s]222",13.5774894235159
"Axis [s]223",13.5796805311997
"Axis [s]224",13.5817521165097
"Axis [s]225",13.5837903791446
"Axis [s]226",13.5858560066056
"Axis [s]227",13.5878127651865
"Axis [s]228",13.5897342364605
"Axis [s]229",13.5916563756612
"Axis [s]230",13.5935023529966
"Axis [s]231",13.5953849257199
"Axis [s]232",13.5971932200086
"Axis [s]233",13.5989385138977
"Axis [s]234",13.6007183662705
"Axis [s]235",13.602394815315
"Axis [s]236",13.604042794821
"Axis [s]237",13.6056950099875
"Axis [s]238",13.6072798452134
"Axis [s]239",13.6088322719501
"Axis [s]240",13.6104104509743
"Axis [s]241",13.6119079163312
"Axis [s]242",13.6133808099098
"Axis [s]243",13.6148811056259
"Axis [s]244",13.6162984500131
"Axis [s]245",13.6176872598291
"Axis [s]246",13.6190699541614
"Axis [s]247",13.6204069629728
"Axis [s]248",13.6217167535939
"Axis [s]249",13.6230841504003
"Axis [s]250",13.6243452884037
"Axis [s]251",13.6256117258809
"Axis [s]252",13.6268547408288
"Axis [s]253",13.6280479654995
"Axis [s]254",13.6292488658644
"Axis [s]255",13.6304040166422
"Axis [s]256",13.631536645281
"Axis [s]257",13.6326844626637
"Axis [s]258",13.6337727168103
"Axis [s]259",13.6348436006812
"Axis [s]260",13.6359381302041
"Axis [s]261",13.6369684346269
"Axis [s]262",13.637980360368
"Axis [s]263",13.6390005865259
"Axis [s]264",13.6399761532291
"Axis [s]265",13.6409369874528
"Axis [s]266",13.6419209339119
"Axis [s]267",13.6428470475445
"Axis [s]268",13.6437849601304
"Axis [s]269",13.6446955202035
"Axis [s]270",13.6455743719478
"Axis [s]271",13.6464599190235
"Axis [s]272",13.6473047036745
"Axis [s]273",13.6481368132012
"Axis [s]274",13.6489828418648
"Axis [s]275",13.6497845142864
"Axis [s]276",13.6505727966248
"Axis [s]277",13.6513675286521
"Axis [s]278",13.6521287644732
"Axis [s]279",13.6528779224879
"Axis [s]280",13.6536328845251
"Axis [s]281",13.6543555655603
"Axis [s]282",13.6550683608015
"Axis [s]283",13.6557809900999
"Axis [s]284",13.6564651081083
"Axis [s]285",13.6571695130047
"Axis [s]286",13.657846045045
"Axis [s]287",13.6584951150281
"Axis [s]288",13.6591550642039
"Axis [s]289",13.6597824606306
"Axis [s]290",13.6604014362118
"Axis [s]291",13.661024095023
"Axis [s]292",13.6616198148147
"Axis [s]293",13.6622068949641
"Axis [s]294",13.6628049025936
"Axis [s]295",13.6633731271058
"Axis [s]296",13.6639306398304
"Axis [s]297",13.6644994701516
"Axis [s]298",13.6650392717779
"Axis [s]299",13.6655688753633
"Axis [s]300",13.6660996746142
