"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Axis [s]63",0.806,0.603410003259675,0.668435572444876,0.645589360055584,0.634864212056454,0.681718828172251,0.681276886257891,0.705179006696096,0.647294610347951,0.69726633746878,0.751092530786825,0.736620210348328,0.701584696711222,0.637463998800842,0.664346712159527,0.689619059424368
"Axis [s]64",0.873,0.619066502404897,0.683073497860141,0.659027239948243,0.648172339020714,0.697732245959069,0.69420504785166,0.718917384354841,0.663899051554194,0.711142675435853,0.765997477606802,0.748942137802453,0.716214175110204,0.65279677906057,0.677896098209095,0.701089892212265
"Axis [s]65",0.94,0.633348238476295,0.696534830820535,0.670860503354671,0.660388995699208,0.712065628969673,0.705796688409614,0.731093472863473,0.679040237907811,0.72330133471506,0.779368498382265,0.759941061181996,0.729232529167228,0.666547779020745,0.690160629769163,0.71129052201755
"Axis [s]66",1.007,0.646422323451003,0.708991713576154,0.681532912110123,0.671374845143906,0.725110403082293,0.716449264183178,0.741940450172863,0.692885690205584,0.734196568527023,0.791391212085624,0.769961210191575,0.740842150389394,0.678953866076055,0.700984945081575,0.720436902495893
"Axis [s]67",1.074,0.658434306523803,0.720584558204842,0.691235380160769,0.68149256649652,0.736996295584435,0.726318880639024,0.751655268551605,0.705763928866022,0.744025604325791,0.802228256479692,0.778880011749125,0.751219596909342,0.690213261140887,0.71073276875212,0.728823394497816
"Axis [s]68",1.141,0.669510980688896,0.731584871370905,0.700123545879589,0.690882255866521,0.747839809150662,0.735529093752724,0.760528322385532,0.717426765242823,0.752952217307221,0.812022141660404,0.786994215525138,0.760518896739282,0.700638661047403,0.719551971819932,0.736349758142428
"Axis [s]69",1.208,0.679762823575785,0.741764359936662,0.708324406456037,0.699656726013576,0.757745571726089,0.744177962089546,0.768440805059877,0.728184961518173,0.761112475971481,0.820897749150609,0.794421860569306,0.768992605983509,0.710064057416874,0.727568925682794,0.743263782031093
"Axis [s]70",1.276,0.68942318210565,0.751367450881808,0.715941701422514,0.707906969401959,0.766807548604188,0.7523435625048,0.77564853521889,0.73813792653516,0.768619499088587,0.82907929752877,0.801261467227808,0.776510084744542,0.71876599782401,0.734891653043378,0.749662465290764
"Axis [s]71",1.343,0.698292829314417,0.760458070464167,0.723163121882182,0.715706523393842,0.775228693847653,0.760200978190954,0.782251701387409,0.747373023364228,0.775667275438596,0.836423175168029,0.807595330298567,0.783304756655443,0.726842089097183,0.741612516560967,0.755625377166145
"Axis [s]72",1.41,0.706592085017682,0.769089307543563,0.729846546767777,0.723222827970089,0.782838005974106,0.767569772720423,0.788335024773829,0.755967059326725,0.782127748223428,0.843235256326926,0.813492254839071,0.789465701062344,0.734374331464137,0.747899417015332,0.761217835413997
"Axis [s]73",1.477,0.714384672542422,0.777305480007959,0.736158571665668,0.730283737567568,0.789832753274136,0.77460883211079,0.793970172249075,0.763987590960893,0.788173644943092,0.849389587468054,0.819089563555505,0.795070651867292,0.741431694277758,0.753635800324532,0.766493504187883
"Axis [s]74",1.544,0.721726202009732,0.785143798015059,0.742145967559065,0.737041887205555,0.796273980432093,0.781350934179074,0.799217792414851,0.771602484871505,0.793859311124944,0.855136345776376,0.824271429467042,0.800187447895119,0.748072264407432,0.758975553160943,0.77156931766866
"Axis [s]75",1.611,0.728665224338828,0.792745040021934,0.747847293147177,0.743529447271845,0.802471742104609,0.787822907778317,0.804200222630157,0.778640719451077,0.799230153528121,0.860438600882712,0.829163256737754,0.804875297773782,0.754436095156304,0.763968099489383,0.776540997654682
"Axis [s]76",1.678,0.7352441479325,0.799912694375867,0.75329442787119,0.749772857408284,0.807945786167628,0.794046893312483,0.808814908750567,0.785263996867632,0.804324168510479,0.865278369312264,0.833799000861659,0.809247599789075,0.760377881772295,0.768655783866552,0.781089852024073
"Axis [s]77",1.746,0.741591130939795,0.806783933506352,0.758513816201551,0.7557939598229,0.813016502799468,0.800041329507832,0.813174289934294,0.791512890280471,0.809173207589329,0.869779948271964,0.838207258528847,0.813221391160314,0.766028805509031,0.773074906864598,0.785522380064578
"Axis [s]78",1.813,0.747552281189972,0.813378523515926,0.763600847869559,0.761610905216316,0.817926272581229,0.805906449126535,0.817309565183955,0.797423192551895,0.813871608594727,0.874162911002646,0.842412164986332,0.816902973313614,0.771418537715735,0.777256608623264,0.789790348195364
"Axis [s]79",1.88,0.753251565124764,0.819713681145501,0.768424524905538,0.767321513017138,0.82229103887901,0.811483084244702,0.821247221399724,0.803026504211296,0.818303961946926,0.878142706643253,0.846434139701026,0.820326672920991,0.776572320977283,0.78128541705211,0.793851638715339
"Axis [s]80",1.947,0.758713772086137,0.825804527808104,0.773076576025947,0.772770763607941,0.826419485566133,0.816870359495411,0.825009766518779,0.80835074847588,0.82255989541712,0.881825933139,0.850346887268014,0.823522469355047,0.781511691267517,0.785066069535809,0.797784056844768
"Axis [s]81",2.014,0.76396062976074,0.831664456175754,0.777570044950179,0.778054855735284,0.830219061309346,0.822078114172972,0.828616348174173,0.813494480041542,0.826655469712859,0.885449389609389,0.854050235819476,0.82651655008529,0.786255080527693,0.788679034622821,0.801767442477695
"Axis [s]82",2.081,0.769011200171343,0.837388017705543,0.781916021169946,0.783183084160581,0.833778204918528,0.827115005565914,0.832134036672351,0.818328532050028,0.830604330139343,0.888725614009711,0.857615480597697,0.829331795050076,0.790885134980325,0.792141285596668,0.805470399684458
"Axis [s]83",2.148,0.77388222410935,0.842817766021068,0.786123995302418,0.788163489316903,0.837119921001706,0.831988737187021,0.83547343977936,0.822949733153193,0.834418113814512,0.891833936129921,0.861053388734934,0.832026735648682,0.79527948154632,0.795467455596303,0.80907428689912
"Axis [s]84",2.216,0.77865748200052,0.84804923101133,0.790202147764205,0.79300309372095,0.840446830145756,0.836706238139735,0.838699150037859,0.827375252760109,0.838106787004351,0.894791504848253,0.86437322970891,0.834539787860413,0.799519309246661,0.798670178042116,0.812741127189726
"Axis [s]85",2.283,0.78320963278562,0.853091328166472,0.794215722843656,0.797708091256008,0.843446396356379,0.841340871214051,0.84182131765923,0.831620348270186,0.841731396458554,0.897613396317956,0.867583020551157,0.836926973006538,0.803614876407201,0.801760377166151,0.816162632323899
"Axis [s]86",2.35,0.787621498034401,0.85795226110672,0.798052965773188,0.802351344038134,0.846240269574171,0.84576216599763,0.844848649110042,0.835698597444453,0.845192835912431,0.900312870549377,0.870689729748817,0.839201632032715,0.807575150134141,0.804791362746229,0.819502899401763
"Axis [s]87",2.417,0.791903145729299,0.862982668042238,0.801779278492096,0.806801305424163,0.848888727240011,0.850044715920585,0.847788630016378,0.839622102016422,0.84855169180424,0.903090636938636,0.873743661409058,0.84137543850231,0.811408009711466,0.807682295555334,0.822766170882091
"Axis [s]88",2.484,0.796063480602249,0.867491381036462,0.805399538730576,0.811131705690093,0.851405153825078,0.854193490583903,0.850647713293663,0.843457037781605,0.851813591496041,0.905571766816728,0.87666040748989,0.843458611299718,0.815120416514579,0.810485625195186,0.826003193440406
"Axis [s]89",2.551,0.800110393052925,0.871904432161615,0.808918124306027,0.815408718354595,0.85397591627381,0.858508071338983,0.853472481644697,0.847260526871887,0.855076743649291,0.908102116047744,0.879531912231257,0.845547937314328,0.818877084339003,0.813207568667799,0.829122002789563
"Axis [s]90",2.618,0.804050888705571,0.87609829303929,0.812338996416046,0.819570788713663,0.85625542263801,0.862393873933427,0.856184748146084,0.850772948984841,0.858156468223833,0.910404848801373,0.882277969717592,0.847472445718288,0.82241294954993,0.815853561586766,0.832353663953671
"Axis [s]91",2.686,0.807947789487111,0.880144875066587,0.815665767508851,0.823562826807122,0.85843616715004,0.866159423939331,0.858830806071824,0.854167965358878,0.861196698925644,0.912632061606111,0.88494519947885,0.849357531109276,0.825792532370084,0.818428370257426,0.835336656812269
"Axis [s]92",2.756,0.811857630614895,0.884278465827165,0.818996990424956,0.827507411304965,0.860618465201146,0.869915853878289,0.86145243253491,0.857500747815685,0.864154472551911,0.914853273605915,0.887651319836133,0.851180195421988,0.829121331255733,0.821010057469537,0.838429673425419
"Axis [s]93",2.823,0.81550846000167,0.888038819455231,0.822142695088937,0.831291676390117,0.86262334905816,0.873449260902716,0.864013010276573,0.86072630484014,0.866991314259424,0.916945251111143,0.890167553815601,0.852920350646828,0.832305555885059,0.823452746812954,0.841286296610072
"Axis [s]94",2.891,0.819126944011883,0.891721172381878,0.825203630594355,0.835031627937996,0.864553290780602,0.876873847002452,0.866479109672031,0.863805314153545,0.869754178911273,0.918978150449574,0.892614328309917,0.854609848730031,0.835444097999733,0.82583551593716,0.844084426272566
"Axis [s]95",2.959,0.822662087075427,0.8952733580089,0.828313971720463,0.838725779380153,0.866469151849977,0.88029056791547,0.868962532630483,0.866878841065601,0.872524967280722,0.920985323348342,0.895099237450656,0.856325275976331,0.838492299868778,0.82822984767193,0.846906689904552
"Axis [s]96",3.026,0.82606737858793,0.898650624776646,0.831209727160273,0.84221844487995,0.86826566744293,0.883504759895649,0.871321599761767,0.869773477720936,0.875145533932017,0.922939906844613,0.897411737130926,0.857923290725549,0.841410537725844,0.830533073838718,0.849591043518834
"Axis [s]97",3.093,0.829398640097505,0.901910496754233,0.834069888302287,0.845620675958202,0.870029987800131,0.886620211985744,0.873631080790991,0.872583910603404,0.877699484085445,0.92481769239551,0.899661988707831,0.859481553954067,0.844247225838996,0.832750038264544,0.852221551110129
"Axis [s]98",3.163,0.832803171965156,0.905195461175545,0.83693371273007,0.84903253826888,0.871764378106021,0.889773033746484,0.875992950369727,0.875434430098754,0.88029889639479,0.926704807489669,0.901884275424872,0.861047697419458,0.847126800441993,0.835012996311973,0.854875702691721
"Axis [s]99",3.23,0.835991932380106,0.908272563023688,0.839600591952092,0.852306185235534,0.873398875611755,0.892696069905831,0.878206446854607,0.878084378243195,0.882722993692561,0.928494547737697,0.904015174554494,0.86253342918835,0.849805116896448,0.837129938842687,0.857438224637833
"Axis [s]100",3.297,0.839114839043422,0.911198477011437,0.842196973872122,0.855447840299202,0.874988223995308,0.895529429502065,0.880407365136821,0.880660935754541,0.885086447463348,0.930244607797332,0.906089614364586,0.864008295428934,0.852409756688227,0.839200664968008,0.859912656070583
"Axis [s]101",3.368,0.842354809102588,0.914105744642965,0.844724831024524,0.85864366817856,0.876626895273561,0.898437165382657,0.882595120610056,0.883277710833564,0.887526756501464,0.932058174343387,0.908228182765653,0.865493864091358,0.855092048042302,0.84122674211886,0.862445666010633
"Axis [s]102",3.435,0.845348936953473,0.916829471611942,0.847186060391575,0.861621956372023,0.87813340249581,0.901094461924735,0.884676856269183,0.885713276199439,0.88977069028053,0.933732870169621,0.910191613193738,0.866886479979114,0.85755205048139,0.843209610546827,0.864821255523393
"Axis [s]103",3.502,0.848283529305864,0.919458841253974,0.849582489890784,0.864523532891917,0.879603977461969,0.903670291061662,0.886717773885533,0.888083891027252,0.891959041675604,0.935373646957389,0.912103543006032,0.868251977155493,0.859945058371145,0.845150599958827,0.867150099347582
"Axis [s]104",3.569,0.851160347646293,0.922108724163126,0.852053234272589,0.867350403803806,0.881041056909664,0.90620384295109,0.888718944571845,0.890391935806595,0.89409331307665,0.936982017679186,0.913965442377657,0.869591695177025,0.862273052507182,0.847191163008023,0.869568068022439
"Axis [s]105",3.636,0.853981032662018,0.924555278431593,0.85432168925926,0.870104516653487,0.882446841681271,0.908623060338887,0.89068137108642,0.892639631411275,0.896174944976331,0.938582662867743,0.915778719636855,0.870906832290506,0.864537929598719,0.84904910693941,0.871803720234372
"Axis [s]106",3.703,0.856747118013042,0.926951762681448,0.856530561261348,0.872787763371459,0.883945220226777,0.910968135718592,0.892634440707108,0.895086678482453,0.898205321826223,0.940129757634911,0.91770061528102,0.872332093361802,0.866741509676531,0.850976149796624,0.873995560418897
"Axis [s]107",3.775,0.859660405786513,0.929230673011379,0.858681446021212,0.875632785608254,0.885291810329255,0.91344148743555,0.894633130535634,0.897213180500344,0.900360739782787,0.941760388562693,0.919416598477854,0.873598881037138,0.869074698040105,0.852756215134679,0.876144486594882
"Axis [s]108",3.842,0.862317709178058,0.931430714723387,0.860806731345593,0.878173829980986,0.886612658406146,0.915638907907658,0.896482123557247,0.899285406182493,0.902288265692508,0.94324916407899,0.921087975962488,0.874844086284696,0.87115576675852,0.854499948399913,0.878251371210219
"Axis [s]109",3.913,0.865078642031511,0.933741203027695,0.863025369049069,0.88075887858584,0.887928399720833,0.917800289535756,0.898403105656579,0.90133482792044,0.904251612385133,0.944776166511402,0.922787851827657,0.876104726566038,0.873270123953804,0.856258704765159,0.880469590545302
"Axis [s]110",3.98,0.867633378735281,0.935785168912594,0.865005888556346,0.883168106501723,0.889220511797349,0.919894473316017,0.900180432755194,0.903302812890963,0.906083736962991,0.946211393526335,0.92437173097259,0.877308446452895,0.875238160510668,0.857931400790241,0.882521819981826
"Axis [s]111",4.047,0.870140099877932,0.937758417233092,0.866934488129957,0.885515391637348,0.890471731057497,0.921894173030471,0.901924104933567,0.905221426636088,0.907870992328935,0.947621659497476,0.925914553348884,0.878492736412337,0.877153244126826,0.859570351417369,0.884504082731855
"Axis [s]112",4.116,0.872672611599167,0.939719239572842,0.868867837670942,0.887869687024261,0.891738741072806,0.92386108264152,0.903685394830082,0.907147251722825,0.909640201272606,0.949048695547492,0.92743954305678,0.879692690472321,0.879071688264612,0.861247484160255,0.886476361882294
"Axis [s]113",4.183,0.875085168463696,0.941556388164628,0.870695225190576,0.89009610533847,0.892949102991251,0.92573925319692,0.905362895644412,0.908996933571953,0.911365493814995,0.950410460725147,0.928924469753691,0.88083929880289,0.880883727826475,0.862819817478284,0.888381425864272
"Axis [s]114",4.25,0.877452867909757,0.943329984808318,0.872474732707769,0.892265292610989,0.894140740335605,0.927586628589461,0.907008804095926,0.910773941272618,0.913023541882503,0.951749298059913,0.930349418637075,0.881968116947274,0.8826471001514,0.864360675845546,0.890276916390965
"Axis [s]115",4.319,0.879845368907341,0.945067332260153,0.874258644594297,0.894472072472186,0.895366617492569,0.929428369320526,0.908695353127746,0.912558161246344,0.914712558783351,0.953124220988472,0.931798815717823,0.883128973017117,0.884438883640329,0.865937654570858,0.892161927404987
"Axis [s]116",4.386,0.882124919193325,0.94674370310985,0.875944801748159,0.896528780693601,0.896522430005465,0.931135975756684,0.910278620920724,0.914247404052312,0.916288811947465,0.954417941833107,0.933149428602232,0.884222805903038,0.886106832538306,0.867416274394816,0.893956068005875
"Axis [s]117",4.453,0.884362403935098,0.948337867926286,0.877586792877332,0.898532626232939,0.897661786953287,0.932791267580155,0.911832174456458,0.915895197477381,0.917826561830166,0.955690390602817,0.934465128829555,0.885300146149883,0.887730035312473,0.868865446965665,0.895715217422218
"Axis [s]118",4.523,0.886656070140328,0.949944544897567,0.879256386334146,0.900599926588343,0.898835252981101,0.934490073537318,0.913424181126734,0.917597374644148,0.919415153729047,0.957016125132942,0.935822290559135,0.886408508893501,0.889402661477813,0.870306779433802,0.897491029891825
"Axis [s]119",4.59,0.8888101775332,0.951427997290949,0.880811644715825,0.902499136833415,0.899942832368245,0.936042609464343,0.914918771079614,0.919163269021477,0.920876561394961,0.958246242728103,0.937068923808803,0.887453250932916,0.890937481799161,0.871698491698594,0.899206224671151
"Axis [s]120",4.657,0.890924744127897,0.952860140434907,0.88232617296242,0.904349535481142,0.901035684243392,0.937547582360947,0.916407053083066,0.92069100323926,0.922302292437344,0.959456477235733,0.938283353493476,0.88848255733154,0.892431156982621,0.873062580494815,0.900863002376863
"Axis [s]121",4.727,0.893092600403061,0.954323764037589,0.883887859150079,0.906152377664434,0.902114284552658,0.939006449516799,0.91784579941756,0.922181574287494,0.923693222637491,0.960664863959708,0.939466416367572,0.889496735995211,0.893884796849768,0.874478596323146,0.902559472585058
"Axis [s]122",4.794,0.895128714518188,0.955655750878887,0.88532183005501,0.907908886116035,0.903179071390201,0.94042062353599,0.919257629899564,0.923657382532945,0.925050205448449,0.961836256372839,0.940618926622075,0.890510883571789,0.895299480156714,0.875787571550185,0.904150878591066
"Axis [s]123",4.861,0.897127591030706,0.95694166871451,0.886718251014015,0.909645458833643,0.904246041320329,0.941791473714993,0.920643058392073,0.925075963854206,0.926374072706183,0.962988941565318,0.941741676631178,0.891495453389768,0.896696522644523,0.877089580204767,0.905711262512284
"Axis [s]124",4.928,0.899089945451441,0.958183111218393,0.888098130441319,0.911434846795139,0.90536115163136,0.943237324387031,0.922082944698433,0.926582503190165,0.927779748620708,0.964223975430497,0.942931997812949,0.892551936755319,0.898134367263564,0.878346861777207,0.907241230296759
"Axis [s]125",4.996,0.901044961399459,0.959381616875401,0.889421853574842,0.913079468031287,0.90640087888857,0.944521883930962,0.923435264121637,0.927930286586196,0.929037012831053,0.965338707407522,0.943995027799688,0.893506937499944,0.89945434005279,0.879579269961285,0.908741375834085
"Axis [s]126",5.063,0.90293582687458,0.960538670904062,0.890710915711367,0.914681200490863,0.907442907088033,0.945785383906843,0.92474261686195,0.92926489179598,0.930299752773924,0.966452034574394,0.94504586737799,0.894476054796655,0.900738432447242,0.880876495472925,0.910212281235939
"Axis [s]127",5.136,0.904956805991061,0.961753835307048,0.892077024175514,0.91621851953885,0.908442515444154,0.946991882931961,0.926025548359458,0.930547892476128,0.931495534566913,0.967547516350444,0.946054328235844,0.895403346947277,0.901969499955774,0.882058889246314,0.911782292976453
"Axis [s]128",5.203,0.906776379632479,0.962828844028911,0.893296563380264,0.917716330267438,0.909430365323005,0.948161420567186,0.927284519162203,0.931818405273889,0.932662144013058,0.968609747319805,0.947051227373748,0.896317333362302,0.903167593302884,0.8832179173345,0.913193928234033
"Axis [s]129",5.272,0.908615643456929,0.963881887748568,0.894501658582909,0.919218628532228,0.910435684196643,0.949345071796445,0.92861124868807,0.933057846571344,0.933833838288477,0.969670743417782,0.948050180338977,0.897244924795721,0.904367919118172,0.884404390976709,0.91463939086419
"Axis [s]130",5.339,0.910368606793033,0.964883296271335,0.895657712397271,0.920639338269117,0.911414754363611,0.950458641547265,0.929821938612635,0.934249431286517,0.934943405357267,0.970699591397108,0.948981094827506,0.898132563397013,0.905501775250201,0.885517087125797,0.915995340626381
"Axis [s]131",5.406,0.91208967710124,0.965864243764427,0.896783496992448,0.92202353672769,0.912368317767215,0.951521974308095,0.931010026441494,0.935412335362009,0.936025905940994,0.971727292994965,0.949887982546831,0.899007534044577,0.906605264882281,0.886607810856563,0.917324863088119
"Axis [s]132",5.475,0.913829411490387,0.966838097551259,0.897928216401439,0.923431731090211,0.913339045405428,0.952598139060714,0.932227629137392,0.936597438811475,0.937128681409063,0.972768155471757,0.950810485338803,0.899895591578082,0.907726610389941,0.887708589474209,0.918666994284247
"Axis [s]133",5.542,0.915487549029347,0.967737263919083,0.898994552314768,0.924744167090922,0.914270867794624,0.953595927927731,0.933387711883256,0.937703873121581,0.938157876651886,0.973748470838688,0.951670158528648,0.900758044551957,0.908770517952833,0.888756048765324,0.919944447208326
"Axis [s]134",5.609,0.917115547531006,0.968605332196468,0.900032968482294,0.926041708657714,0.915192270780163,0.954563149362581,0.934509243097171,0.938783716159349,0.939161967430058,0.974713459506417,0.952507645191676,0.901595642745629,0.909801425781831,0.889782833673308,0.921197003304204
"Axis [s]135",5.678,0.91876122689574,0.969480216839392,0.90108885031415,0.927342077920031,0.916143994469698,0.955500739808704,0.935658640739432,0.939899729883741,0.940199288263194,0.975719614261887,0.953323518267911,0.902458039884735,0.910833401262221,0.890848813214018,0.922461438704768
"Axis [s]136",5.746,0.920352936357599,0.970288004347857,0.902072431959924,0.928554021094663,0.917044638354841,0.956409607020204,0.936737791307469,0.940926829750415,0.941153585235841,0.97665382489896,0.954118335842967,0.903283555286025,0.911794112100952,0.8918342989399,0.923664940440222
"Axis [s]137",5.813,0.921892539780227,0.971067854208902,0.903044365152357,0.929752210360992,0.917948599990159,0.95729063094103,0.937796803977141,0.941929271726788,0.942084605506182,0.97757346465496,0.954904045697469,0.904085310869477,0.912742860565874,0.892800339600552,0.924844986927698
"Axis [s]138",5.883,0.923471221648469,0.971820732670496,0.903976746218891,0.930902215125209,0.918829447843476,0.958194815946216,0.938836055313271,0.942907654592795,0.943006304738601,0.978478769632402,0.955702470846512,0.904875704605402,0.91365243993953,0.89376131195025,0.926070395164217
"Axis [s]139",5.951,0.924976126153228,0.972547572559433,0.90488471512529,0.932022665734981,0.91970069584489,0.959021149716225,0.939855914718304,0.94386256174354,0.943892134989853,0.979369971016025,0.956435895331242,0.905654904094418,0.91453766300908,0.894689334046904,0.927203561543151
"Axis [s]140",6.018,0.926431778763372,0.973259561664116,0.905768911073402,0.933114321715483,0.920562484740562,0.959822168626103,0.940856744587377,0.944794561688078,0.944756358997569,0.980247295305069,0.957150392810788,0.90642307362637,0.91539918218244,0.895599048635504,0.928314643623155
"Axis [s]141",6.085,0.927861005618006,0.973976312782779,0.906680643151096,0.93424054996462,0.921490839399104,0.96061005543979,0.941911456596117,0.945784597372695,0.945649185309237,0.981174875972462,0.957846451834737,0.907247667474999,0.916286972850338,0.896569814335137,0.929420170115224
"Axis [s]142",6.152,0.929264289139926,0.974628601203815,0.907530144826352,0.935290447768777,0.922333293249444,0.961362397985402,0.942873933541179,0.946670503700288,0.946470553493971,0.982024113683702,0.958534535490227,0.907993305995226,0.917113643382946,0.897442434602113,0.930488052779086
"Axis [s]143",6.219,0.930642102594285,0.975258330019548,0.908345076751929,0.936342633667164,0.923191429061864,0.962155902092071,0.943818452833251,0.947573397933378,0.947307307874148,0.982884898742592,0.959243465624348,0.908750185675997,0.917929514578785,0.898310481299295,0.931535123551006
"Axis [s]144",6.292,0.932114852887002,0.975866279464782,0.909138671732295,0.937323270195023,0.924015623466184,0.962860887397383,0.944745349797486,0.948416420394713,0.948088233458106,0.983707545116587,0.959885510934871,0.909485319571079,0.918700210547506,0.899161153586152,0.932652746193725
"Axis [s]145",6.359,0.933440933871372,0.976461807316369,0.909911488431462,0.938278705217867,0.924843104766728,0.963554315006902,0.9456549534544,0.94923923683336,0.94885011187869,0.984517404567087,0.960510987784862,0.910199332633095,0.919450269933417,0.899982661920272,0.933657629465388
"Axis [s]146",6.428,0.934781452296504,0.977069603416864,0.910730497292055,0.939223297401422,0.925661622345855,0.964226187276237,0.946626706836622,0.950066008779193,0.949626262263701,0.985350086517932,0.961138269174075,0.91091369055517,0.920212469705299,0.900799866018468,0.934672043567551
